76.9933;149.427
94.6371;144.001
292.764;144
324.164;175.4
324.164;191.394
292.764;222.794
94.6357;222.794
64.9204;201.541
45.5933;208.194
33.5933;208.194
2.1933;176.794
2.1933;47.9937
33.5933;16.5937
45.5933;16.5937
64.9244;23.2496
94.6375;2.0025
292.764;2.00125
324.165;33.4013
324.165;49.3953
292.765;80.7953
94.6361;80.7953
76.9933;75.3701
94.6377;30.0025
91.2377;33.4022
91.2361;49.3949
94.6361;52.7953
292.765;52.7953
296.165;49.3953
296.165;33.4013
292.764;30.0013
94.6373;172.001
91.2373;175.401
91.2357;191.394
94.6357;194.794
292.764;194.794
296.164;191.394
296.164;175.4
292.764;172
33.5933;44.5937
30.1933;47.9937
30.1933;176.794
33.5933;180.194
45.5933;180.194
48.9933;176.794
48.9933;47.9937
45.5933;44.5937
